mean=2_2_4,0.1163,0.0042,0.1221_0.1221_0.1048,0.00622594521168_0.00622594521168_0.0,133,133,133,8,8,8
mean=2_3_3,0.1792,0.0082,0.1221_0.2078_0.2078,0.00622594521168_0.00925462731366_0.00925462731366,133,133,133,8,8,8
mean=2_3_4,0.1449,0.0052,0.1221_0.2078_0.1048,0.00622594521168_0.00925462731366_0.0,133,133,133,8,8,8
mean=2_4_4,0.1106,0.0021,0.1221_0.1048_0.1048,0.00622594521168_0.0_0.0,133,133,133,8,8,8
mean=3_3_3,0.2078,0.0093,0.2078_0.2078_0.2078,0.00925462731366_0.00925462731366_0.00925462731366,133,133,133,8,8,8
mean=3_3_4,0.1735,0.0062,0.2078_0.2078_0.1048,0.00925462731366_0.00925462731366_0.0,133,133,133,8,8,8
mean=3_4_4,0.1391,0.0031,0.2078_0.1048_0.1048,0.00925462731366_0.0_0.0,133,133,133,8,8,8
mean=4_4_4,0.1048,0.0,0.1048_0.1048_0.1048,0.0_0.0_0.0,133,133,133,8,8,8
mean=0_0_5,0.2913,0.2807,0.160828025478_0.21178343949_0.501205411865,0.160828025478_0.21178343949_0.469592105922,101,133,133,8,8,8
mean=0_1_5,0.2561,0.2295,0.160828025478_0.106172157841_0.501205411865,0.160828025478_0.0580552040462_0.469592105922,101,133,133,8,8,8
mean=0_2_5,0.2614,0.2122,0.160828025478_0.1221_0.501205411865,0.160828025478_0.00622594521168_0.469592105922,101,133,133,8,8,8
mean=0_3_5,0.2899,0.2132,0.160828025478_0.2078_0.501205411865,0.160828025478_0.00925462731366_0.469592105922,101,133,133,8,8,8
mean=0_4_5,0.2556,0.2101,0.160828025478_0.1048_0.501205411865,0.160828025478_0.0_0.469592105922,101,133,133,8,8,8
mean=0_5_5,0.3877,0.3667,0.160828025478_0.501205411865_0.501205411865,0.160828025478_0.469592105922_0.469592105922,101,133,133,8,8,8
mean=1_1_5,0.2324,0.1895,0.0898926443965_0.106172157841_0.501205411865,0.0408993243048_0.0580552040462_0.469592105922,101,133,133,8,8,8
mean=1_2_5,0.2734,0.1698,0.203656063847_0.1221_0.494389545268,0.0408993243048_0.00622594521168_0.462344253731,101,133,101,7,8,8
mean=1_3_5,0.3019,0.1708,0.203656063847_0.2078_0.494389545268,0.0408993243048_0.00925462731366_0.462344253731,101,133,101,7,8,8
mean=1_4_5,0.232,0.1702,0.0898926443965_0.1048_0.501205411865,0.0408993243048_0.0_0.469592105922,101,133,133,8,8,8
mean=1_5_5,0.3975,0.3219,0.203656063847_0.494389545268_0.494389545268,0.0408993243048_0.462344253731_0.462344253731,101,101,101,7,8,8
mean=2_2_5,0.2485,0.1607,0.1221_0.1221_0.501205411865,0.00622594521168_0.00622594521168_0.469592105922,133,133,133,8,8,8
mean=2_3_5,0.277,0.1617,0.1221_0.2078_0.501205411865,0.00622594521168_0.00925462731366_0.469592105922,133,133,133,8,8,8
mean=2_4_5,0.2427,0.1586,0.1221_0.1048_0.501205411865,0.00622594521168_0.0_0.469592105922,133,133,133,8,8,8
mean=2_5_5,0.3748,0.3151,0.1221_0.501205411865_0.501205411865,0.00622594521168_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=3_3_5,0.3056,0.1627,0.2078_0.2078_0.501205411865,0.00925462731366_0.00925462731366_0.469592105922,133,133,133,8,8,8
mean=3_4_5,0.2713,0.1596,0.2078_0.1048_0.501205411865,0.00925462731366_0.0_0.469592105922,133,133,133,8,8,8
mean=3_5_5,0.4034,0.3161,0.2078_0.501205411865_0.501205411865,0.00925462731366_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=4_4_5,0.2369,0.1565,0.1048_0.1048_0.501205411865,0.0_0.0_0.469592105922,133,133,133,8,8,8
mean=4_5_5,0.3691,0.3131,0.1048_0.501205411865_0.501205411865,0.0_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=5_5_5,0.4989,0.4672,0.494389545268_0.501205411865_0.501205411865,0.462344253731_0.469592105922_0.469592105922,101,133,133,8,8,8
